Year,difference,cal_remain_lag_one,cal_remain_lag_two,cal_remain_lag_three,accumulated_cal
700,85646487.54,77081838.79,55670216.9,17129297.51,85646487.54
701,79931736.33,71938562.7,51955628.62,15986347.27,157013575.1
702,128503329,115652996.1,83527163.83,25700665.79,256112108.6
703,87694403.28,78924962.95,57001362.13,17538880.66,272432325.5
704,-33969845,0,0,0,144468629
705,80208193.92,72187374.53,52135326.05,16041638.78,162910221.9
706,52019657.43,46817691.69,33812777.33,10403931.49,141745912.6
707,103706843.6,93336159.23,67409448.33,20741368.72,202659861.3
708,122387906.4,110149115.8,79552139.18,24477581.29,265578481.8
709,95920898.61,86328808.75,62348584.1,19184179.72,283883394.2
710,76829193.12,69146273.81,49938975.53,15365838.62,263451509.8
711,103071387.6,92764248.81,66996401.92,20614277.51,259043826.8
712,103325536.1,92992982.52,67161598.48,20665107.23,265212940.2
713,103063778.8,92757400.88,66991456.19,20612755.75,278419001.8
714,107565354.5,96808819.08,69917480.44,21513070.91,288098631.4
715,75453526.58,67908173.92,49044792.28,15090705.32,259918909.1
716,115527480.1,103974732,75092862.03,23105496.01,273965890.2
717,89867878.01,80881090.21,58414120.71,17973575.6,264400473.2
718,126486685,113838016.5,82216345.24,25297337,297551342.5
719,78791475.86,70912328.27,51214459.31,15758295.17,274149109.1
720,78757427.8,70881685.02,51192328.07,15751485.56,249859676.9
721,80639807.31,72575826.58,52415874.75,16127961.46,228033288.6
722,65970353.68,59373318.31,42880729.89,13194070.74,205496803.5
723,69013123.11,62111810.8,44858530.02,13802624.62,196553801.7
724,93771964.09,84394767.68,60951776.66,18754392.82,214892466.2
725,96387640.6,86748876.54,62651966.39,19277528.12,238835009
726,87529185.2,78776266.68,56893970.38,17505837.04,249032463
727,36671117.34,33004005.61,23836226.27,7334223.469,196853743.2
728,106487627.6,95838864.81,69216957.92,21297525.51,215663131.7
729,76171931.6,68554738.44,49511755.54,15234386.32,213352859.7
730,65383608.62,58845247.76,42499345.61,13076721.72,210489528.5
731,85628137.81,77065324.03,55658289.58,17125627.56,215282666.6
732,84519300.91,76067370.82,54937545.59,16903860.18,219318356.9
733,61860590.9,55674531.81,40209384.08,12372118.18,206662973
734,54136245.97,48722621.37,35188559.88,10827249.19,181873950.9
735,82344061.88,74109655.69,53523640.22,16468812.38,188179927.5
736,88824830.87,79942347.79,57736140.07,17764966.17,210495164.6
737,99301291.62,89371162.46,64545839.55,19860258.32,243594528.8
738,-34492458,0,0,0,129083656.9
739,98424530.45,88582077.41,63975944.79,19684906.09,180735336.2
740,71003921.75,63903529.57,46152549.14,14200784.35,179446257.5
741,100721503.1,90649352.81,65468977.03,20144300.62,228600977.5
742,77405851.64,69665266.47,50313803.56,15481170.33,233892659.7
743,67385872.5,60647285.25,43800817.13,13477174.5,216720900.4
744,113414768,102073291.2,73719599.22,22682953.61,244520157.5
745,84592107.16,76132896.44,54984869.65,16918421.43,245947385.8
746,62352625.51,56117362.96,40529206.58,12470525.1,225682295.7
747,95614009.52,86052608.57,62149106.19,19122801.9,229399195.7
748,93387877.88,84049090.09,60702120.62,18677575.58,236888114.5
749,82077632.25,73869869.03,53350460.97,16415526.45,240746353.6
750,-34492458,0,0,0,119202333.6
751,-34492458,0,0,0,37535578.54
752,99921581.52,89929423.37,64949027.99,19984316.3,116337108
753,49949742.35,44954768.11,32467332.53,9989948.469,139879165.7
754,73055027.82,65749525.03,47485768.08,14611005.56,182958823.9
755,87808853.53,79027968.17,57075754.79,17561770.71,206010027.4
756,98958610.78,89062749.7,64323097.01,19791722.16,235462295.5
757,131863186.1,118676867.5,85711070.99,26372637.23,292612696.2
758,83546978.63,75192280.76,54305536.11,16709395.73,284108713.9
759,101651082.2,91485973.99,66073203.44,20330216.44,282346156.1
760,88440745.22,79596670.7,57486484.39,17688149.04,260604892.6
761,-35015071,0,0,0,127364198.9
762,98130564.19,88317507.77,63784866.72,19626112.84,175947265
763,115806267.7,104225641,75274074.02,23161253.54,221811924.5
764,77161385.88,69445247.3,50154900.83,15432277.18,245171893.6
765,100424429.1,90381986.15,65275878.89,20084885.81,264769863.2
766,87575986.78,78818388.1,56924391.41,17515197.36,251274127.3
767,81950282.06,73755253.86,53267683.34,16390056.41,241476826.2
768,93473042.35,84125738.12,60757477.53,18694608.47,244237573.4
769,53973755.52,48576379.96,35082941.09,10794751.1,208882374.3
770,88048119.41,79243307.47,57231277.61,17609623.88,213772033.3
771,90942409.86,81848168.87,59112566.41,18188481.97,223963266.9
772,108415617.5,97574055.74,70470151.37,21683123.5,258289815.1
773,129034137,116130723.3,83872189.07,25806827.41,303330383.1
774,12394691.95,11155222.76,8056549.77,2478938.391,217184048.6
775,64630552.6,58167497.34,42009859.19,12926110.52,181341087.9
776,69017191.14,62115472.03,44861174.24,13803438.23,161048065.7
777,96203032.33,86582729.09,62531971.01,19240606.47,202807301.9
778,25765481.54,23188933.38,16747563,5153096.307,170135495.4
779,-32924619,0,0,0,66599723.62
780,100950261.7,90855235.56,65617670.13,20190052.35,136938431.2
781,65295894.25,58766304.82,42442331.26,13059178.85,161304226.1
782,93460201.61,84114181.45,60749131.04,18692040.32,217844176.6
783,106485077.7,95836569.97,69215300.53,21297015.55,253231642.8
784,83340067.54,75006060.78,54171043.9,16668013.51,252984947.4
785,83550308.28,75195277.45,54307700.38,16710061.66,246463709.9
786,99046117.83,89141506.05,64379976.59,19809223.57,249709454.7
787,89213854.93,80292469.44,57989005.7,17842770.99,249331074.9
788,86991528.94,78292376.05,56544493.81,17398305.79,248374036.6
789,98635777.29,88772199.56,64113255.24,19727155.46,254726382.6
790,1669035.01,1502131.509,1084872.756,333807.002,164828499.4
791,80970761.56,72873685.41,52630995.02,16194152.31,163984454.1
792,105296076.3,94766468.7,68442449.62,21059215.27,198981790
793,86091522.65,77482370.38,55959489.72,17218304.53,233822793.4
794,80722619.52,72650357.56,52469702.69,16144523.9,242841591.8
795,103672609,93305348.07,67387195.83,20734521.79,253341671.5
796,21281068.6,19152961.74,13832694.59,4256213.72,184274423.9
797,134982311.9,121484080.7,87738502.71,26996462.37,237666993.3
798,40547110.42,36492399.37,26355621.77,8109422.083,196598407.5
799,150981142.9,135883028.6,98137742.87,30196228.58,279468258.7
800,143679277.1,129311349.4,93391530.11,28735855.42,332914389.8
801,81209214.74,73088293.26,52785989.58,16241842.95,316767729.1
802,112434076.1,101190668.5,73082149.49,22486815.23,309110128.1
803,86715486.94,78043938.24,56365066.51,17343097.39,269428000.5
804,16002426.9,14402184.21,10401577.48,3200485.379,183370357.6
805,93641546.22,84277391.59,60867005.04,18728309.24,186895612.2
806,92059535.38,82853581.84,59838698,18411907.08,204081601.8
807,123843930.7,111459537.6,80498554.96,24768786.14,270765003
808,-20381907,0,0,0,169644637.9
809,-19859294,0,0,0,79051168.03
810,-19859294,0,0,0,4909492.141
811,180703464.6,162633118.1,117457252,36140692.91,180703464.6
812,83109528.62,74798575.75,54021193.6,16621905.72,245742646.7
813,130885534.7,117796981.2,85075597.54,26177106.93,323141362.4
814,138828012.1,124945210.9,90238207.85,27765602.42,346786879.8
815,90650300.96,81585270.86,58922695.62,18130060.19,317293015.1
816,123307056.4,110976350.8,80149586.69,24661411.29,321307642.1
817,26970142.25,24273128.02,17530592.46,5394028.449,224634791.1
818,141580143.4,127422129,92027093.2,28316028.68,264132918.3
819,-16723616,0,0,0,152890516.8
820,91008816.75,81907935.08,59155730.89,18201763.35,188429938.4
821,116100778.7,104490700.8,75465506.13,23220155.73,226324742.4
822,96178002.7,86560202.43,62515701.76,19235600.54,259824434.4
823,70736829.44,63663146.5,45978939.14,14147365.89,250964301.3
824,93413834.76,84072451.29,60718992.6,18682766.95,242812838.7
825,116096937.4,104487243.7,75463009.33,23219387.49,265383928.4
826,105432507.3,94889256.57,68531129.75,21086501.46,284786109.5
827,85489156.59,76940240.93,55567951.79,17097831.32,274524189.4
828,164342611.8,147908350.6,106822697.7,32868522.36,333033370
829,120723358.4,108651022.5,78470182.95,24144671.68,345286162.3
830,124251564,111826407.6,80763516.63,24850312.81,356823115.6
831,121709886.4,109538897.8,79111426.19,24341977.29,344874999.4
832,108784812.1,97906330.91,70710127.88,21756962.43,323231898.2
833,68993967.29,62094570.56,44846078.74,13798793.46,270862037.2
834,87242377.87,78518140.09,56707545.62,17448475.57,244389053.6
835,156704485.2,141034036.6,101857915.4,31340897.03,301825666.4
836,88475859.6,79628273.64,57509308.74,17695171.92,300016235.3
837,96089463.37,86480517.03,62458151.19,19217892.67,295024127.9
838,153713219.7,138341897.7,99913592.78,30742643.93,329043942.5
839,135632043.4,122068839.1,88160828.22,27126408.68,354127264.2
840,175951630.7,158356467.6,114368560,35190326.14,417151955.2
841,111806984.8,100626286.4,72674540.14,22361396.97,389066924.6
842,160619042.5,144557138.2,104402377.6,32123808.5,402740297.5
843,89165132.66,80248619.39,57957336.23,17833026.53,341587137.2
844,95814603.64,86233143.27,62279492.36,19162920.73,302826997.6
845,140370859.9,126333773.9,91241058.93,28074171.98,316685147.9
846,139099892,125189902.8,90414929.8,27819978.4,345546184.8
847,132039847.4,118835862.6,85825900.78,26407969.47,367633729.8
848,107738647.7,96964782.89,70030120.97,21547729.53,345063612
849,122004960.5,109804464.5,79303224.34,24400992.1,332615622.6
850,114010230,102609207,74106649.52,22802046.01,320252785
851,138054696.4,124249226.7,89735552.65,27610939.28,341514857.3
852,139432320.1,125489088.1,90631008.09,27886464.03,362189188.5
853,129350631.1,116415568,84077910.24,25870126.23,367377317.9
854,82812828.2,74531545.38,53828338.33,16562565.64,317470343.6
855,144347898.5,129913108.6,93826134,28869579.69,330843818.1
856,138764943.2,124888448.9,90197213.08,27752988.64,348376516.4
857,106407873.6,95767086.21,69165117.82,21281574.71,341685022.1
858,101804626.9,91624164.2,66173007.48,20360925.38,316638505.9
859,95561712.28,86005541.05,62115112.98,19112342.46,284103982.9
860,108550443.8,97695399.44,70557788.49,21710088.76,282010567.1
861,110080461,99072414.91,71552299.66,22016092.2,290251898.8
862,112582518.7,101324266.9,73178637.17,22516503.75,301325064.6
863,144209871.8,129788884.7,93736416.69,28841974.37,338796527.1
864,64535210.69,58081689.62,41947886.95,12907042.14,289518824.7
865,-20381907,0,0,0,153952703.1
866,96282961.18,86654665.06,62583924.77,19256592.24,167072822.5
867,139128060.2,125215254.2,90433239.11,27825612.03,238689767.4
868,106816855.4,96135169.86,69430956.01,21363371.08,294616034.3
869,99822270.81,89840043.73,64884476.03,19964454.16,305647272
870,141234844.4,127111359.9,91802648.84,28246968.88,328331456.2
871,79055511.42,71149960.28,51386082.42,15811102.28,292414718.5
872,94055067.85,84649561.06,61135794.1,18811013.57,276972131.1
873,165776165,149198548.5,107754507.2,33155233,330058777.3
874,87158843.63,78442959.27,56653248.36,17431768.73,313304288.5
875,105638004.5,95074204.01,68664702.89,21127600.89,310646484.5
876,135239688.7,121715719.8,87905797.63,27047937.73,320122374
877,102638592.5,92374733.24,66715085.12,20527718.5,310450783.9
878,90016483.63,81014835.27,58510714.36,18003296.73,291424615.4
879,113788894.5,102410005,73962781.41,22757778.9,288566752.6
880,54592627.64,49133364.87,35485207.96,10918525.53,236041065.5
881,107234549.4,96511094.47,69702457.12,21446909.88,248333992.4
882,74571859.39,67114673.45,48471708.6,14914371.88,229325940.7
883,74127826.13,66715043.51,48183086.98,14825565.23,221863482.2
884,107191783.2,96472604.89,69674659.09,21438356.64,243825445.2
885,82165623,73949060.7,53407654.95,16433124.6,241735686.8
886,89183845.74,80265461.17,57969499.73,17836769.15,247633130.8
887,94341822.58,84907640.32,61322184.67,18868364.52,249453295.3
888,117013825.4,105312442.9,76058986.52,23402765.08,276324090.1
889,98523955.06,88671559.56,64040570.79,19704791.01,282995351.8
890,85907929.62,77317136.65,55840154.25,17181585.92,269506840.2
891,74429189.27,66986270.34,48378973.02,14885837.85,239189661.8
892,84400002.11,75960001.9,54860001.37,16880000.42,226931217.7
893,63270859.59,56943773.63,41126058.73,12654171.92,204791420.4
894,97255793.66,87530214.29,63216265.88,19451158.73,223945406.5
895,71808160.08,64627344.07,46675304.05,14361632.02,217344433.5
896,56318874.97,50686987.47,36607268.73,11263774.99,196816656.8
897,58228920.25,52406028.23,37848798.16,11645784.05,175042370.5
898,65162011.57,58645810.42,42355307.52,13032402.31,168536940.5
899,88651552.83,79786397.54,57623509.34,17730310.57,196409936.4
900,40861839.61,36775655.65,26560195.75,8172367.922,174649328.7
901,57337435.73,51603692.15,37269333.22,11467487.15,164769003
902,99228103.35,89305293.02,64498267.18,19845620.67,195122301.8
903,-34820813.46,0,0,0,99926180.7
904,46574954.71,41917459.24,30273720.56,9314990.942,122540709
905,73683187.85,66314869.07,47894072.1,14736637.57,135446267.8
906,55424742.29,49882268.06,36026082.49,11084948.46,152013331.9
907,73248822.14,65923939.92,47611734.39,14649764.43,180340153.2
908,50277888.18,45250099.36,32680627.32,10055577.64,166964548.2
909,50366744.72,45330070.25,32738384.07,10073348.94,154313526.9
910,-61145721,0,0,0,31514740.99
911,46150538.96,41535485.07,29997850.32,9230107.792,88944500.66
912,64222748.35,57800473.52,41744786.43,12844549.67,115831582.4
913,54596809.98,49137128.98,35487926.49,10919362,142395133.8
914,22194952.46,19975457.21,14426719.1,4438990.492,122306975.7
915,61273284.19,55145955.77,39827634.72,12254656.84,129581217.6
916,43374768.62,39037291.75,28193599.6,8674953.723,123866805.5
917,62342563.43,56108307.09,40522666.23,12468512.69,145646480.4
918,35191903.58,31672713.22,22874737.32,7038380.715,131748467.1
919,58447459.81,52602713.83,37990848.88,11689491.96,139317793
920,35012268.45,31511041.6,22757974.49,7002453.689,122958232.3
921,46073025.31,41465722.78,29947466.45,9214605.062,122613296.5
922,54849096.74,49364187.07,35651912.88,10969819.35,130762286
923,-38591946.55,0,0,0,47722160.67
924,-70552755,0,0,0,-25686237.05
925,44413991.79,39972592.61,28869094.66,8882798.358,55383811.14
926,47512543.51,42761289.16,30883153.28,9502508.701,87485136.12
927,77542199.24,69787979.31,50402429.5,15508439.85,149172583.1
928,46191214.17,41572092.75,30024289.21,9238242.834,155745145.1
929,43529300.76,39176370.68,28294045.49,8705860.151,145006331.7
930,76020568.67,68418511.81,49413369.64,15204113.73,160729668.4
931,2673436.86,2406093.174,1737733.959,534687.372,108624237
932,66878415.67,60190574.1,43470970.18,13375683.13,127403738.6
933,65085140.82,58576626.74,42305341.53,13017028.16,142217562.6
934,40535330.73,36481797.65,26347964.97,8107066.145,143117615
935,86137755.99,77523980.39,55989541.39,17227551.2,178300578.3
936,67070179.79,60363161.81,43595616.87,13414035.96,183959153.3
937,37424071.95,33681664.76,24325646.77,7484814.39,161883841.3
938,45333426.86,40800084.18,29466727.46,9066685.373,139838259.7
939,37867773.47,34080996.12,24614052.75,7573554.694,116407540.4
940,4453538.577,4008184.72,2894800.075,890707.7155,75486076.55
941,62044975.92,55840478.33,40329234.35,12408995.18,99733898.76
942,26940600.06,24246540.05,17511390.04,5388120.011,93249433.15
943,22168080.93,19951272.83,14409252.6,4433616.185,87634563.04
944,-77346724,0,0,0,-27475065.95
945,27403152.16,24662836.95,17812048.91,5480630.432,47200524.77
946,46580723.7,41922651.33,30277470.4,9316144.74,75677176.83
